Timestamp,Label,EEG_1,EEG_2,EEG_3,EEG_4,EEG_5,EEG_6,EEG_7,EEG_8
304306.4133644,No Event,-36678.00390625,-25074.275390625,-25948.2734375,-10658.9658203125,-18532.591796875,-26321.81640625,-34206.91015625,-33422.875
304306.4173644,No Event,-36687.90625,-25074.4765625,-26100.421875,-10671.7958984375,-18534.892578125,-26228.1171875,-34210.88671875,-33431.3046875
304306.4213644,No Event,-36710.9296875,-25063.501953125,-25671.24609375,-10677.6298828125,-18551.232421875,-26223.3125,-34228.94921875,-33452.9609375
304306.4253644,No Event,-36702.99609375,-25059.859375,-25481.94921875,-10664.93359375,-18550.517578125,-26322.95703125,-34222.33203125,-33445.7421875
304306.42936440004,No Event,-36688.21875,-25076.287109375,-25860.3203125,-10665.828125,-18536.615234375,-26333.685546875,-34206.21484375,-33427.28125
304306.43336440006,No Event,-36686.05078125,-25076.779296875,-26126.595703125,-10674.43359375,-18525.439453125,-26244.8828125,-34198.32421875,-33422.40625
304306.4373644001,No Event,-36700.6484375,-25058.517578125,-25750.931640625,-10677.0263671875,-18538.470703125,-26207.46484375,-34211.84765625,-33440.3984375
304306.4398661,No Event,-36695.12890625,-25078.6796875,-25765.9296875,-10668.666015625,-18532.837890625,-26337.59765625,-34207.69140625,-33433.046875
304306.4413644001,No Event,-36703.44140625,-25056.998046875,-25459.955078125,-10665.58203125,-18542.380859375,-26297.587890625,-34215.2890625,-33443.3046875
304306.4438661,No Event,-36685.13671875,-25085.787109375,-26123.35546875,-10675.3046875,-18530.267578125,-26261.6015625,-34197.4765625,-33422.8984375
304306.4478661,No Event,-36700.42578125,-25071.416015625,-25833.005859375,-10681.18359375,-18539.744140625,-26203.53125,-34209.79296875,-33439.125
304306.4518661,No Event,-36708.89453125,-25068.93359375,-25471.734375,-10670.052734375,-18547.947265625,-26286.1875,-34215.359375,-33446.50390625
304306.45586610003,No Event,-36696.15625,-25084.71484375,-25687.40625,-10663.212890625,-18537.708984375,-26343.005859375,-34202.171875,-33430.98828125
304306.45986610005,No Event,-36678.83203125,-25089.341796875,-26101.517578125,-10667.9736328125,-18516.23046875,-26279.080078125,-34184.48828125,-33410.96484375
304306.46386610006,No Event,-36697.765625,-25080.9140625,-25917.0703125,-10680.0654296875,-18528.076171875,-26205.6328125,-34202.4609375,-33431.48046875
304306.4658588,No Event,-36686.9453125,-25078.009765625,-25998.296875,-10679.7978515625,-18531.474609375,-26216.5625,-34196.0234375,-33421.89453125
304306.4678661001,No Event,-36706.4609375,-25071.28125,-25497.126953125,-10675.2822265625,-18544.818359375,-26269.357421875,-34214.12890625,-33442.7265625
304306.4698588,No Event,-36700.6015625,-25064.240234375,-25539.9296875,-10676.310546875,-18542.08984375,-26250.759765625,-34209.16796875,-33436.578125
304306.4718661001,No Event,-36697.18359375,-25083.91015625,-25608.21484375,-10673.583984375,-18545.935546875,-26345.6875,-34208.765625,-33433.42578125
304306.4738588,No Event,-36698.1015625,-25077.65234375,-25539.3046875,-10674.052734375,-18543.587890625,-26341.21875,-34211.78125,-33436.0625
